QKHLZ 842.58 Ddd
TSDKS 178.81 Aaa
PUVII 43.94 Fff
OSSAW 224.51 Eee
ZQGMA 168.50 Ddd
KNWLJ 2052.02 Eee
XYWIH 611.66 Fff
KVUFJ 891.46 Bbb
XPHJI 647.29 Aaa
DRSBL 1093.85 Eee
KOAUR 14.38 Bbb
JLCJS 1224.46 Eee
LLRRB 921.40 Eee
GXDII 1058.51 Eee
GCWJF 85.95 Eee
TWSCW 151.31 Eee
JOAWS 335.20 Ddd
ONUEI 276.45 Aaa
EOKFP 535.70 Fff
QGKNZ 981.13 Ccc
AIEEP 237.46 Eee
FOYIV 982.79 Ddd
MEVUG 293.28 Ddd
ICEQI 832.29 Fff
WGIGR 392.04 Ccc
ZZNFG 971.79 Ddd
VGDVM 522.38 Ddd
BYJAE 441.09 Ccc
CCGHL 128.69 Ddd
IARLX 388.37 Ddd
TDVSE 851.97 Eee
ZEFMY 416.15 Eee
PVOIQ 1206.00 Eee
RCALF 380.36 Aaa
MDJRL 107.75 Aaa
VDZKU 349.29 Fff
MAHSG 7.79 Ddd
UEDNF 209.93 Aaa
RIQBV 1328.95 Aaa
KWMIV 486.65 Ddd
AZPIE 273.45 Aaa
MYKDL 22.35 Eee
LKPHV 224.53 Ddd
QBXZU 642.49 Ddd
ZOOBG 1022.20 Ddd
TANNY 378.58 Fff
JYZTL 1789.95 Ccc
RDCYD 17.91 Fff
YORNJ 1582.93 Bbb
AFWQU 481.03 Ddd
GERNL 141.79 Fff
PEXVL 455.59 Aaa
ZQDPE 422.27 Eee
GRWBR 492.32 Ddd
BFQWI 85.50 Ccc
SSMAC 134.63 Bbb
UESKK 507.22 Ddd
XTPDX 630.13 Bbb
EBNEP 9.17 Eee
ZDUVV 488.44 Bbb
UXTEB 701.72 Ddd
NUXLU 776.88 Ddd
OWGUP 42.23 Ccc
MWGZX 491.08 Bbb
BTJFE 52.23 Eee
EFFUH 475.31 Aaa
QLCXO 184.93 Eee
TXWOO 263.37 Eee
TNZHM 435.18 Ddd
GBZCA 330.04 Fff
NSHNN 95.20 Fff
PDFKA 695.95 Ddd
DLLEE 32.05 Ddd
WIGMP 264.98 Aaa
PGELI 522.47 Fff
OLBKF 880.98 Aaa
ZYTOO 97.47 Ddd
QDRGO 68.72 Aaa
YVMSI 697.94 Bbb
WSEVE 147.95 Ddd
AZPMH 220.93 Ddd
BRYXS 475.74 Eee
PEMEM 75.78 Ddd
JNFKV 1666.12 Eee
JIOTU 1844.17 Ddd
OXZEY 201.32 Eee
PLXBN 225.29 Ddd
MMPOW 1752.60 Fff
WYAXO 277.80 Eee
VDAPE 28.33 Aaa
UGMIW 593.63 Aaa
BRQRM 362.90 Bbb
EKKTT 423.55 Eee
VRQHV 616.49 Eee
TVIDW 744.46 Ddd
UFKGK 29.01 Eee
VIHWH 105.12 Fff
TMERK 4.78 Ddd
RUOTL 718.66 Aaa
CAGNW 1127.97 Eee
FHBLA 929.38 Ddd
